(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\models\build_tag_w2v.py
🚀 Loading Mappings and Metadata...
🧠 Preparing Corpus for Word2Vec...
🏋️‍♂️ Training Word2Vec Model (128 Dimensions)...
💉 Mapping Word2Vec representations to SASRec Token IDs...
✅ Pre-trained vectors mapped for 22884 out of 22884 items.
💾 Word2Vec Matrix saved to data/processed\w2v_embeddings.npy

(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>python src\train_w2v.py
🚀 Training Word2Vec-Hybrid SASRec on: cuda
🚀 INJECTION: Loading pre-trained Word2Vec embeddings into SASRec!
✅ Epoch 64 Complete | Avg Loss: 0.2083 | Time: 13.90 sec
Epoch [65/100] | Batch [250/538] | Loss: 0.2120
Epoch [65/100] | Batch [500/538] | Loss: 0.2167
✅ Epoch 65 Complete | Avg Loss: 0.2076 | Time: 14.33 sec
Epoch [66/100] | Batch [250/538] | Loss: 0.2265
Epoch [66/100] | Batch [500/538] | Loss: 0.2006
✅ Epoch 66 Complete | Avg Loss: 0.2079 | Time: 14.11 sec
Epoch [67/100] | Batch [250/538] | Loss: 0.2078
Epoch [67/100] | Batch [500/538] | Loss: 0.1902
✅ Epoch 67 Complete | Avg Loss: 0.2072 | Time: 14.30 sec
Epoch [68/100] | Batch [250/538] | Loss: 0.2141
Epoch [68/100] | Batch [500/538] | Loss: 0.2030
✅ Epoch 68 Complete | Avg Loss: 0.2073 | Time: 14.10 sec
Epoch [69/100] | Batch [250/538] | Loss: 0.1944
Epoch [69/100] | Batch [500/538] | Loss: 0.2175
✅ Epoch 69 Complete | Avg Loss: 0.2071 | Time: 13.92 sec
Epoch [70/100] | Batch [250/538] | Loss: 0.2081
Epoch [70/100] | Batch [500/538] | Loss: 0.2079
✅ Epoch 70 Complete | Avg Loss: 0.2065 | Time: 14.02 sec
Epoch [71/100] | Batch [250/538] | Loss: 0.2011
Epoch [71/100] | Batch [500/538] | Loss: 0.2097
✅ Epoch 71 Complete | Avg Loss: 0.2068 | Time: 14.06 sec
Epoch [72/100] | Batch [250/538] | Loss: 0.2048
Epoch [72/100] | Batch [500/538] | Loss: 0.2145
✅ Epoch 72 Complete | Avg Loss: 0.2057 | Time: 14.31 sec
Epoch [73/100] | Batch [250/538] | Loss: 0.2002
Epoch [73/100] | Batch [500/538] | Loss: 0.2004
✅ Epoch 73 Complete | Avg Loss: 0.2061 | Time: 14.07 sec
Epoch [74/100] | Batch [250/538] | Loss: 0.2058
Epoch [74/100] | Batch [500/538] | Loss: 0.2050
✅ Epoch 74 Complete | Avg Loss: 0.2060 | Time: 14.10 sec
Epoch [75/100] | Batch [250/538] | Loss: 0.2128
Epoch [75/100] | Batch [500/538] | Loss: 0.2114
✅ Epoch 75 Complete | Avg Loss: 0.2058 | Time: 14.16 sec
Epoch [76/100] | Batch [250/538] | Loss: 0.2080
Epoch [76/100] | Batch [500/538] | Loss: 0.2091
✅ Epoch 76 Complete | Avg Loss: 0.2053 | Time: 14.17 sec
Epoch [77/100] | Batch [250/538] | Loss: 0.2082
Epoch [77/100] | Batch [500/538] | Loss: 0.1957
✅ Epoch 77 Complete | Avg Loss: 0.2054 | Time: 14.04 sec
Epoch [78/100] | Batch [250/538] | Loss: 0.2090
Epoch [78/100] | Batch [500/538] | Loss: 0.2068
✅ Epoch 78 Complete | Avg Loss: 0.2046 | Time: 14.19 sec
Epoch [79/100] | Batch [250/538] | Loss: 0.2072
Epoch [79/100] | Batch [500/538] | Loss: 0.2129
✅ Epoch 79 Complete | Avg Loss: 0.2052 | Time: 14.40 sec
Epoch [80/100] | Batch [250/538] | Loss: 0.2268
Epoch [80/100] | Batch [500/538] | Loss: 0.2054
✅ Epoch 80 Complete | Avg Loss: 0.2050 | Time: 14.44 sec
Epoch [81/100] | Batch [250/538] | Loss: 0.2053
Epoch [81/100] | Batch [500/538] | Loss: 0.2035
✅ Epoch 81 Complete | Avg Loss: 0.2044 | Time: 14.58 sec
Epoch [82/100] | Batch [250/538] | Loss: 0.2142
Epoch [82/100] | Batch [500/538] | Loss: 0.2013
✅ Epoch 82 Complete | Avg Loss: 0.2045 | Time: 14.34 sec
Epoch [83/100] | Batch [250/538] | Loss: 0.2013
Epoch [83/100] | Batch [500/538] | Loss: 0.2125
✅ Epoch 83 Complete | Avg Loss: 0.2040 | Time: 14.13 sec
Epoch [84/100] | Batch [250/538] | Loss: 0.2042
Epoch [84/100] | Batch [500/538] | Loss: 0.2026
✅ Epoch 84 Complete | Avg Loss: 0.2042 | Time: 14.36 sec
Epoch [85/100] | Batch [250/538] | Loss: 0.2073
Epoch [85/100] | Batch [500/538] | Loss: 0.1985
✅ Epoch 85 Complete | Avg Loss: 0.2043 | Time: 14.18 sec
Epoch [86/100] | Batch [250/538] | Loss: 0.2000
Epoch [86/100] | Batch [500/538] | Loss: 0.2051
✅ Epoch 86 Complete | Avg Loss: 0.2038 | Time: 14.14 sec
Epoch [87/100] | Batch [250/538] | Loss: 0.1972
Epoch [87/100] | Batch [500/538] | Loss: 0.2000
✅ Epoch 87 Complete | Avg Loss: 0.2040 | Time: 13.99 sec
Epoch [88/100] | Batch [250/538] | Loss: 0.2020
Epoch [88/100] | Batch [500/538] | Loss: 0.2176
✅ Epoch 88 Complete | Avg Loss: 0.2036 | Time: 14.13 sec
Epoch [89/100] | Batch [250/538] | Loss: 0.1949
Epoch [89/100] | Batch [500/538] | Loss: 0.2157
✅ Epoch 89 Complete | Avg Loss: 0.2038 | Time: 14.20 sec
Epoch [90/100] | Batch [250/538] | Loss: 0.2011
Epoch [90/100] | Batch [500/538] | Loss: 0.1937
✅ Epoch 90 Complete | Avg Loss: 0.2034 | Time: 14.09 sec
Epoch [91/100] | Batch [250/538] | Loss: 0.2032
Epoch [91/100] | Batch [500/538] | Loss: 0.2128
✅ Epoch 91 Complete | Avg Loss: 0.2032 | Time: 14.23 sec
Epoch [92/100] | Batch [250/538] | Loss: 0.2064
Epoch [92/100] | Batch [500/538] | Loss: 0.2168
✅ Epoch 92 Complete | Avg Loss: 0.2027 | Time: 14.46 sec
Epoch [93/100] | Batch [250/538] | Loss: 0.1871
Epoch [93/100] | Batch [500/538] | Loss: 0.2154
✅ Epoch 93 Complete | Avg Loss: 0.2031 | Time: 14.05 sec
Epoch [94/100] | Batch [250/538] | Loss: 0.2033
Epoch [94/100] | Batch [500/538] | Loss: 0.2085
✅ Epoch 94 Complete | Avg Loss: 0.2028 | Time: 14.07 sec
Epoch [95/100] | Batch [250/538] | Loss: 0.1986
Epoch [95/100] | Batch [500/538] | Loss: 0.1958
✅ Epoch 95 Complete | Avg Loss: 0.2022 | Time: 14.13 sec
Epoch [96/100] | Batch [250/538] | Loss: 0.1981
Epoch [96/100] | Batch [500/538] | Loss: 0.2053
✅ Epoch 96 Complete | Avg Loss: 0.2031 | Time: 14.17 sec
Epoch [97/100] | Batch [250/538] | Loss: 0.1973
Epoch [97/100] | Batch [500/538] | Loss: 0.2225
✅ Epoch 97 Complete | Avg Loss: 0.2021 | Time: 14.37 sec
Epoch [98/100] | Batch [250/538] | Loss: 0.2144
Epoch [98/100] | Batch [500/538] | Loss: 0.1900
✅ Epoch 98 Complete | Avg Loss: 0.2024 | Time: 14.13 sec
Epoch [99/100] | Batch [250/538] | Loss: 0.2096
Epoch [99/100] | Batch [500/538] | Loss: 0.2006
✅ Epoch 99 Complete | Avg Loss: 0.2020 | Time: 14.02 sec
Epoch [100/100] | Batch [250/538] | Loss: 0.1991
Epoch [100/100] | Batch [500/538] | Loss: 0.2012
✅ Epoch 100 Complete | Avg Loss: 0.2024 | Time: 14.05 sec
💾 Hybrid weights saved to models/weights\sasrec_w2v_model.pth

(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>  Model loaded. Starting rigorous full-catalog evaluation...
Processed 25600/137477 users...
Processed 51200/137477 users...
Processed 76800/137477 users...
Processed 102400/137477 users...
Processed 128000/137477 users...

========================================
🏆 SASREC EVALUATION RESULTS
========================================
Hit Ratio @ 10 : 0.0905
NDCG @ 10      : 0.0374
========================================

(C:\Users\Rajdeep Kumar\movie-recsys\recsys-env) C:\Users\Rajdeep Kumar\movie-recsys>
